Rank,Bank Name,Assets(USD),Assets(INR),Assets(GBP),Assets(EUR)
1,Industrial and Commercial Bank of China,7645.8,725280.59,5734.35,6651.85
2,Agricultural Bank of China,6974.82,661631.43,5231.12,6068.09
3,China Construction Bank,6524.05,618871.38,4893.04,5675.92
4,Bank of China,5484.11,520222.67,4113.08,4771.18
5,JPMorgan Chase,4424.9,419746.01,3318.68,3849.66
6,Bank of America,3411.74,323637.66,2558.8,2968.21
7,BNP Paribas,3279.3,311074.4,2459.48,2852.99
8,HSBC,3212.35,304723.52,2409.26,2794.74
9,Crédit Agricole,3148.91,298705.6,2361.68,2739.55
10,Postal Savings Bank of China,2671.0,253371.06,2003.25,2323.77
