Repository Name,Owner,Language,Stars,Forks Count,Open Issues,Size(KB),Created Date,Updated Date,Visibility,Default Branch
1590A,torvalds,OpenSCAD,569,21,0,10882,2025-03-01 04:36:29+00:00,2026-07-04 22:36:53+00:00,public,main
AudioNoise,torvalds,C,4425,207,33,1428,2026-01-09 02:33:29+00:00,2026-07-08 21:22:40+00:00,public,main
GuitarPedal,torvalds,C,2071,84,5,9114,2025-09-17 01:01:29+00:00,2026-07-08 20:09:54+00:00,public,main
HunspellColorize,torvalds,C,350,15,2,15,2026-01-18 19:57:03+00:00,2026-07-08 12:41:48+00:00,public,main
libdc-for-dirk,torvalds,C,395,51,1,3743,2017-01-17 00:25:49+00:00,2026-07-04 22:36:55+00:00,public,Subsurface-branch
libgit2,torvalds,C,367,28,1,62768,2022-07-30 03:30:56+00:00,2026-06-26 08:22:56+00:00,public,main
linux,torvalds,C,238819,63195,3,6315585,2011-09-04 22:48:12+00:00,2026-07-09 06:33:08+00:00,public,master
pesconvert,torvalds,C,568,74,6,17,2017-12-04 21:58:56+00:00,2026-07-04 22:36:59+00:00,public,master
ScrollWheel,torvalds,C,359,13,8,15,2026-06-02 15:48:56+00:00,2026-07-08 13:42:16+00:00,public,main
subsurface-for-dirk,torvalds,C++,466,67,2,155337,2017-01-11 18:03:01+00:00,2026-07-04 22:36:56+00:00,public,master
test-tlb,torvalds,C,1028,218,13,19,2017-03-24 20:06:37+00:00,2026-07-06 17:25:38+00:00,public,master
uemacs,torvalds,C,2078,312,15,478,2018-01-17 22:32:21+00:00,2026-07-08 03:01:09+00:00,public,master
boysenberry-repo-1,octocat,,459,26,1,4,2018-05-10 17:51:29+00:00,2026-07-08 21:35:41+00:00,public,master
git-consortium,octocat,,587,171,47,190,2014-03-28 17:55:38+00:00,2026-07-08 21:35:14+00:00,public,master
hello-worId,octocat,,766,289,92,160,2014-06-18 21:26:19+00:00,2026-07-08 20:59:12+00:00,public,master
Hello-World,octocat,,3666,6207,6537,1,2011-01-26 19:01:12+00:00,2026-07-09 05:46:37+00:00,public,master
linguist,octocat,Ruby,735,276,24,32899,2016-08-02 17:35:14+00:00,2026-07-08 21:33:50+00:00,public,master
octocat.github.io,octocat,CSS,1125,554,264,335,2014-03-18 20:54:39+00:00,2026-07-08 20:59:00+00:00,public,master
Spoon-Knife,octocat,HTML,13883,157888,20708,2,2011-01-27 19:30:43+00:00,2026-07-09 03:44:19+00:00,public,main
test-repo1,octocat,,467,43,0,1,2016-04-14 21:29:25+00:00,2026-07-09 05:31:36+00:00,public,gh-pages
Ada-lab-,4321rudra,C++,0,0,0,1444,2026-02-04 13:22:56+00:00,2026-04-29 13:53:27+00:00,public,main
ADAlab,4321rudra,C++,0,0,0,212,2026-01-22 13:20:11+00:00,2026-02-04 13:20:06+00:00,public,main
Rudra-python,4321rudra,Python,0,0,0,359,2026-06-17 03:31:55+00:00,2026-07-07 05:05:50+00:00,public,main
Rudra-Python-Projects,4321rudra,Python,0,0,0,668,2026-07-04 10:32:26+00:00,2026-07-09 03:29:12+00:00,public,main
